                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                0.85103,                0.39642,                0.78347,                0.87091,                 0.6852,                 0.7523,                0.51732,                0.86909,                0.41725,                0.79513,             0.00049513,             0.00049513,             0.00049513
                     63,                0.85912,                0.39757,                0.78869,                0.84522,                0.71676,                0.77377,                0.51404,                0.88705,                0.40964,                0.79751,             0.00048275,             0.00048275,             0.00048275
                     64,                0.85929,                0.39686,                 0.7841,                0.90031,                0.68167,                0.77207,                0.51815,                0.86056,                0.41136,                 0.7953,             0.00047038,             0.00047038,             0.00047038
                     65,                 0.8549,                0.39323,                0.78302,                0.87348,                0.72969,                0.78012,                0.52934,                0.85239,                0.40028,                 0.7947,               0.000458,               0.000458,               0.000458
                     66,                0.81453,                0.37815,                0.78357,                0.81709,                0.71448,                0.76153,                0.51812,                0.86499,                 0.3987,                0.79512,             0.00044563,             0.00044563,             0.00044563
                     67,                0.83202,                0.38565,                0.78216,                0.81721,                0.72067,                0.76834,                0.53636,                0.84278,                0.40358,                0.79306,             0.00043325,             0.00043325,             0.00043325
                     68,                0.85871,                0.38913,                0.78402,                0.89403,                0.62954,                0.74253,                 0.5021,                0.85704,                0.42037,                0.79476,             0.00042087,             0.00042087,             0.00042087
                     69,                0.84836,                0.38701,                0.78388,                0.89609,                0.71651,                0.76816,                0.51893,                0.88466,                0.40484,                0.79589,              0.0004085,              0.0004085,              0.0004085
                     70,                0.83144,                0.38024,                0.78257,                0.81795,                0.73133,                0.76671,                0.53808,                 0.8342,                0.39167,                 0.7939,             0.00039613,             0.00039613,             0.00039613
                     71,                0.81676,                0.37547,                0.78226,                0.83099,                0.69593,                0.76684,                0.52727,                0.84828,                0.40204,                0.79481,             0.00038375,             0.00038375,             0.00038375
                     72,                0.81286,                 0.3748,                0.78088,                0.85668,                0.71381,                0.77693,                0.53422,                0.84136,                0.39979,                0.79401,             0.00037138,             0.00037138,             0.00037138
                     73,                0.83851,                0.38025,                0.77948,                0.81433,                0.71992,                0.77614,                0.53058,                0.85772,                0.39998,                0.79658,               0.000359,               0.000359,               0.000359
                     74,                0.79347,                0.36644,                0.78353,                 0.8691,                0.67515,                0.76766,                0.52802,                0.88274,                0.40613,                 0.7979,             0.00034663,             0.00034663,             0.00034663
                     75,                0.80963,                0.37156,                0.78184,                0.83496,                0.71237,                0.76576,                 0.5359,                0.85507,                0.40662,                0.79655,             0.00033425,             0.00033425,             0.00033425
                     76,                0.81266,                0.37038,                0.78077,                0.88302,                0.68948,                 0.7713,                0.54303,                0.83368,                0.39318,                0.79467,             0.00032188,             0.00032188,             0.00032188
                     77,                0.81487,                0.37247,                0.78065,                0.80319,                0.71774,                0.77248,                0.52601,                0.88351,                0.40649,                0.79777,              0.0003095,              0.0003095,              0.0003095
                     78,                 0.8148,                0.37773,                0.77918,                0.90443,                0.72038,                0.78833,                 0.5414,                0.85094,                 0.4001,                0.79453,             0.00029713,             0.00029713,             0.00029713
                     79,                 0.7836,                 0.3623,                 0.7819,                0.89021,                0.69841,                0.77167,                0.54186,                   0.84,                0.39061,                 0.7946,             0.00028475,             0.00028475,             0.00028475
                     80,                0.78401,                0.36061,                0.77989,                0.88367,                0.73779,                0.78549,                0.54602,                 0.8297,                0.39143,                0.79372,             0.00027237,             0.00027237,             0.00027237
                     81,                0.78182,                0.35946,                0.77872,                0.83026,                0.71974,                0.78087,                0.54051,                0.84603,                0.39239,                0.79504,                0.00026,                0.00026,                0.00026
                     82,                0.76809,                0.35533,                0.78107,                0.83829,                0.71415,                0.77669,                0.52787,                 0.8536,                 0.3935,                0.79648,             0.00024762,             0.00024762,             0.00024762
                     83,                0.76554,                0.35434,                0.77815,                0.84171,                0.74187,                0.78228,                0.54423,                0.83966,                0.39306,                0.79405,             0.00023525,             0.00023525,             0.00023525
                     84,                0.77399,                 0.3586,                0.78081,                0.81404,                0.70598,                0.77841,                0.53873,                0.85009,                0.39565,                0.79499,             0.00022288,             0.00022288,             0.00022288
                     85,                0.79184,                0.36309,                0.77855,                0.83107,                0.70601,                0.78405,                0.53242,                0.84719,                0.40362,                 0.7939,              0.0002105,              0.0002105,              0.0002105
                     86,                0.76513,                0.35465,                 0.7793,                0.81339,                0.73877,                0.78408,                0.53646,                 0.8386,                0.39223,                0.79409,             0.00019813,             0.00019813,             0.00019813
                     87,                0.76757,                0.35177,                0.78004,                0.80006,                0.71876,                0.77884,                 0.5367,                0.85041,                0.38899,                 0.7952,             0.00018575,             0.00018575,             0.00018575
                     88,                0.77405,                0.35527,                0.78047,                0.83089,                0.71609,                 0.7817,                0.54194,                0.84822,                0.39578,                 0.7951,             0.00017338,             0.00017338,             0.00017338
                     89,                0.75959,                0.35096,                0.77833,                0.82174,                0.69763,                0.77806,                0.54135,                0.83834,                0.38873,                0.79486,               0.000161,               0.000161,               0.000161
                     90,                0.75155,                0.34701,                0.77878,                0.91628,                0.66964,                0.78321,                0.53784,                0.83334,                0.38633,                0.79367,             0.00014862,             0.00014862,             0.00014862
                     91,                0.70907,                0.34078,                0.77885,                0.85738,                0.72357,                 0.7905,                0.53638,                0.84797,                0.39078,                 0.7937,             0.00013625,             0.00013625,             0.00013625
                     92,                 0.6972,                0.33378,                 0.7792,                0.85333,                 0.7244,                0.78411,                0.53398,                 0.8458,                0.39683,                0.79346,             0.00012387,             0.00012387,             0.00012387
                     93,                0.68919,                0.33039,                0.77853,                 0.8612,                0.75402,                0.79358,                0.53947,                0.85453,                0.39227,                 0.7949,              0.0001115,              0.0001115,              0.0001115
                     94,                0.69231,                0.32991,                0.77824,                0.90117,                0.75023,                0.80686,                0.54222,                0.84843,                0.39117,                0.79418,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.67847,                0.32958,                0.77777,                0.85241,                0.73263,                0.79362,                0.54528,                0.85255,                0.39632,                0.79448,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                0.67148,                0.32245,                0.77582,                 0.8918,                0.71631,                0.79623,                0.54516,                0.85414,                0.39694,                 0.7943,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.66905,                0.32392,                0.77567,                0.89001,                0.71712,                0.79407,                0.54188,                0.84269,                0.38904,                0.79396,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.66098,                0.31749,                0.77671,                0.90062,                0.73824,                0.79812,                0.54045,                0.84311,                0.39177,                0.79423,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.65585,                 0.3156,                 0.7774,                0.89067,                0.72199,                 0.8021,                0.54135,                0.84026,                0.39019,                0.79403,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                0.65861,                0.31834,                0.77631,                0.85188,                 0.7303,                0.78951,                0.54028,                0.84458,                0.38616,                 0.7945,             2.4875e-05,             2.4875e-05,             2.4875e-05
